customer_id,customer_name,aadhar_no,pan_no,address,phone_num,email,password,bank_account_no,registration_time
2D5GXL,Mughil,398742120909,GHDED1290W,"1/24, EUIYC STREET, IDOUFYHG - 394832",6238471239,arun@gmail.com,123456,10102023331,"2024-05-16 14:21:51"
2G1PFU,Jeeva,987371231122,ABCDE9876F,"191/43, SHDGFDH STREET, JIHURYGE - 238743",9283723219,jeeva@gmail.com,123456,10101010101,"2024-05-16 14:21:51"
5MLC5B,Vijay,987698769876,ANMER1234I,"5/34, NCEIJF, UICFCFN - 992382",7654321098,vijay@gmail.com,654321,99991111000,"2024-05-16 14:21:51"
6QU51U,Kaavya,19234341909,BDKXZ8292W,"1/111, IURBD STREET, JDIOHUI - 213234",9999112928,kaavya@gmail.com,123456,10203404569,"2024-05-16 14:21:51"
ANY13C,Vishal,121290901234,ASDFQ1010E,"8/23, UEYDN STREET, IUNCB - 232942",9289290101,vishal@gmail.com,123456,11112222333,"2024-05-16 14:21:51"
C44EQU,Shalini,232018381239,HGWJO9823O,"9/120, IHUBP STREET, MJMJM - 726273",7718347281,shalini@gmail.com,123456,49134819707,"2024-05-16 14:21:51"
DY5ZQZ,Karthi,289718391721,GDHJY1781I,"1/29, FKJKGU STREET, OIHLDKW - 681711",9283763109,karthi@gmail.com,123456,10107272110,"2024-05-16 14:21:51"
KV5NGU,Virat,138123722345,AKHDJ2131Q,"2/13, KUGDEV STREET, UIFGWK - 632681",9873323123,virat@gmail.com,123456,87987098909,"2024-05-16 14:39:16"
L9TFGS,John,463641203193,GHGHG1234O,"2/199, PLPLP STREET, HOUHB - 479211",7878231210,john@gmail.com,123456,20392997009,"2024-05-16 14:21:51"
MBSX3Y,Ashok,111100002323,CPLPJ7171J,"4/444 , LKJHGD STREET, POIUYT - 238412",9283221200,ashok@gmail.com,123456,10120203030,"2024-05-16 14:21:51"
OYG5OM,Sruthi,553627181922,JHGDH1234M,"3/319, UHYBVSO STREET, HUEIVD - 273681",6298328973,sruthi@gmail.com,123456,53782163909,"2024-05-16 14:21:51"
QGQGGD,Priya,387482110230,LKOIP1943D,"2/222, EBBBBX STREET, HDCDIU - 283999",8178781839,priya@gmail.com,123456,73647492123,"2024-05-16 14:21:51"
S7LWWZ,Ajith,123412341234,ABCDEF1234,"1/234, QWERTY, ASDFGH - 761232",9087654322,ajith@gmail.com,123456,98671111222,"2024-05-16 14:21:51"
VTQH48,Raji,238190202819,HBKQU1299S,"6/43, IHBQB STREET, LINIBUO - 762812",9091091091,raji@gmail.com,123456,90128910107,"2024-05-16 14:21:51"
YK8S1R,Surya,456745674567,ABTED1234L,"9/43, ZCXXVV STREET, ERSYTS - 333553",8768751234,fzzztrs@gmail.com,123456,12345678901,"2024-05-16 14:21:51"
